timestamp,x,y,z
0.0,-90.33448870992629,0.13936922927276338,0.13855796809978085
42000,-90.31985443586892,0.16228705341151725,0.13305528168864944
84000,-90.3196227967772,0.18350464951357762,0.12890946387644434
124000,-90.32196902988804,0.2036016965163704,0.12098298762761932
166000,-90.30515658427566,0.22662461608510348,0.11206833056996024
208000,-90.31068522813705,0.247941588945591,0.10353142694145084
250000.0,-90.31594923359643,0.2672104576890083,0.1001299139938848
292000,-90.32620956596888,0.287344924902632,0.09879645689399222
334000,-90.31779610396102,0.30833100833413485,0.09696924404120948
374000,-90.31987730942737,0.3282227446622407,0.09588220809282133
416000,-90.3178418305163,0.34747288308480817,0.08918302243311065
458000,-90.31749835530123,0.36918147168461796,0.08552263177955219
500000.0,-90.30371996536549,0.39248469933599855,0.08319863480141951
542000,-90.31133618480062,0.41173551495478844,0.07638124965831852
584000,-90.30539971303634,0.43330946181406016,0.07028346795985992
624000,-90.29288110487555,0.45439090593052595,0.06321502746774929
666000,-90.30537372651567,0.4724307695917383,0.058115696285643864
708000,-90.30177120729401,0.4941220198533699,0.05104218298548032
750000.0,-90.3097669039325,0.5126400337186963,0.04410744246593926
792000,-90.32594997972176,0.5317629035571884,0.03643249041299805
834000,-90.31895430083945,0.5527092141484533,0.02752491134524387
874000,-90.32462058365097,0.5723336648742224,0.022288017802080257
916000,-90.34061440694062,0.5935727368533974,0.022041045061186763
958000,-90.33598736528451,0.6146847849341798,0.020940030897437286
1000000.0,-90.32883058852596,0.6348028343186618,0.016795000277540745
1042000,-90.3271221562944,0.6564695497346977,0.005928005751500616
1084000,-90.32422678728477,0.676901233104091,-0.007495233244231441
1124000,-90.30526708727871,0.6995769927995955,-0.03472389853442085
1166000,-90.30851849634526,0.7168102621557266,-0.31486672510994584
1208000,-90.31990092766779,0.7154250805757941,-1.2439006074431023
1250000.0,-90.35006047230688,0.7031361269939903,-2.503712260215615
1292000,-90.37667591297553,0.6672521321196522,-4.514652784519087
1334000,-90.39351330260837,0.6289233664578036,-6.672906400368288
1374000,-90.4313513712062,0.5844688964592968,-8.976240566941996
1416000,-90.4631510104129,0.5162645171881425,-12.015604113482008
1458000,-90.43018575165254,0.44129841281679344,-15.426872404814711
1500000.0,-90.41858430226942,0.3807701880461884,-18.479695655063953
1542000,-90.37162273638035,0.3168009712818797,-21.687892216505134
1584000,-90.35569761471598,0.2593117552359867,-24.77626160951058
1624000,-90.32300501616393,0.1996293638156291,-27.715182725523402
1666000,-90.30907533960624,0.14600168012463194,-30.629128151406064
1708000,-90.28309175322477,0.08530408907100633,-33.73505838302139
1750000.0,-90.21450734860939,0.020673073083410903,-37.31060661214721
1792000,-90.16742616968772,-0.04465475741344038,-40.98483245173843
1834000,-90.14076122074448,-0.10348893951779156,-44.58929073148727
1874000,-90.12143089377406,-0.1527403599081559,-47.86007429214713
1916000,-90.08324635167271,-0.1980061316454672,-51.007124573634876
1958000,-90.04285267292241,-0.2448841979509711,-54.50270674249638
2000000.0,-90.00216134272412,-0.2872049870393247,-57.86064716114883
2042000,-89.94800374118776,-0.32303790931227405,-60.48936678479008
2084000,-89.85004756511978,-0.36857026964232437,-64.36806616315316
2124000,-89.76008797548154,-0.4083016434304532,-68.3033808581299
2166000,-89.63328517964311,-0.4410628009626152,-72.00269686534865
2208000,-89.54103522622844,-0.46420476903665875,-75.41978119994832
2250000.0,-89.4571435646769,-0.4718412110950003,-78.8722487463292
2292000,-89.40740977789861,-0.472867383500163,-81.29335751897372
2334000,-89.37753186698741,-0.4655711598662131,-83.24193908698749
2374000,-89.36115543607129,-0.4576056829387621,-84.76091243080516
2416000,-89.33648664238163,-0.45045006077196026,-86.87810277022245
2458000,-89.26386889939495,-0.44098291627555836,-88.91774784158423
2500000.0,-89.20377346266736,-0.4225915164198877,-90.53023498063469
2542000,-89.24812061643087,-0.41538995625937375,-92.98428241905958
2584000,-89.17568314905877,-0.39922863205692083,-94.3058708616587
2624000,-89.1650164701023,-0.38017797814457527,-94.40082797863953
2666000,-89.1477490980425,-0.3598212804733274,-94.39051430441675
2708000,-89.14923480339526,-0.34082574583619374,-94.3871793119254
2750000.0,-89.15483941011132,-0.3185807957074295,-94.3889295418666
2792000,-89.15128393153239,-0.29595068472426195,-94.39188640738807
2834000,-89.16872586911005,-0.2755220148667135,-94.3946395185177
2874000,-89.18935086074588,-0.258048761049346,-94.39573089677175
2916000,-89.19019811896995,-0.23544037865914594,-94.39736423817195
